NAME,NORTH,EAST,ELEVATION,TIMESTAMP,LATITUDE,LONGITUDE,TIMESTEP_s_da,DISTANCE_m_da,VELOCITY_kmh_da,VELOCITY_[km/h]_da_smoothed,TIMESTEP_s_da_smoothed,ACCELERATION_ms2_p,ACCELERATION_[m/s^2]_p_smoothed,VELOCITY_kmh_p,EMISSION_[g/s]_p
9584,202405.1596,154252.6058,61.255867,2019-09-30 05:18:18,51.131689414334495,4.429508959424367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9585,202372.1753,154252.6588,61.453685,2019-09-30 05:18:19,51.131392928393325,4.4295093266094,1.0,33.67939175638107,121.24581032297186,121.24628428246187,0.9999960909359588,-0.002432799400489374,-0.004713952540917708,121.23779862623904,8.823561529538091
9586,202338.8093,154253.2981,61.763452,2019-09-30 05:18:20,51.131093007075975,4.429518065018421,1.0,33.676958956980585,121.2370522451301,121.22931354483424,1.0000638352232607,-0.0060613900746473185,-0.003090469289532259,121.22375083578551,8.794048517893385
9587,202305.0783,154254.3893,62.025289,2019-09-30 05:18:21,51.130789801490764,4.42953325469205,1.0,33.670897566905936,121.21523124086137,121.21818763595893,0.9999756109610677,-0.005118966632878931,-0.0018033764078945773,121.21494195726267,8.800262858270289
9588,202271.1904,154255.6875,62.224383,2019-09-30 05:18:22,51.130485184003696,4.429551399426356,1.0,33.66577860027306,121.196802960983,121.21169595889718,0.9998771323361467,0.0015743329829397289,-0.0008523079498403978,121.21016188252199,8.851136807682076
9589,202237.3036,154256.8285,62.464085,2019-09-30 05:18:23,51.13018057753815,4.4295672982594025,1.0,33.667352933256,121.20247055972159,121.20862791671023,0.9999492003408135,0.005784033286527151,-0.00023749200802222731,121.20820037635796,8.883274330476965
9590,202203.5011,154257.531,62.709378,2019-09-30 05:18:24,51.12987673204915,4.429576933740086,1.0,33.67313696654252,121.22329307955309,121.20777291245966,1.0001280459719744,0.00034874587284782084,5.921147233984124e-06,121.20778357199792,8.841439190777919
9591,202169.7495,154257.9137,62.943827,2019-09-30 05:18:25,51.12957334643213,4.429582001260372,1.0,33.67348571241537,121.22454856469534,121.20779423142767,1.0001382281838713,-0.006005267054511876,-3.034206753056227e-05,121.20773961784887,8.79261812809306
9592,202135.9611,154258.2438,63.212026,2019-09-30 05:18:26,51.12926963038922,4.429586316877583,1.0,33.66748044536086,121.2029296032991,121.20768499457789,0.9999607665860543,-0.0016952747067714804,-0.0011865769680812941,121.20554927210932,8.825471295170718
9593,202102.1776,154258.548,63.495216,2019-09-30 05:18:27,51.128965958550104,4.429590262512363,1.0,33.66578517065409,121.19682661435472,121.203413517363,0.9999456541460581,-0.0013428411379597567,-0.0024628554345958098,121.19898047104614,8.827413721594036
9594,202068.4572,154258.8525,63.80092,2019-09-30 05:18:28,51.128662853861805,4.429594213128391,1.0,33.66444232951613,121.19199238625806,121.19454757218662,0.9999789166593733,0.0032462021711054945,-0.002666944518723344,121.18974632999105,8.86160404303076
9595,202034.8038,154259.0697,64.055497,2019-09-30 05:18:29,51.12836035203304,4.429596917412456,1.0,33.66768853168723,121.20367871407404,121.18494593106793,1.0001545801160547,-0.006125172159868618,-0.000647334819548401,121.18378073788553,8.788912375587673
9596,202001.1892,154259.2664,64.335909,2019-09-30 05:18:30,51.128058199085174,4.429599329281826,1.0,33.661563359527364,121.18162809429852,121.18261535509316,0.9999918531153024,2.7744442914941676e-05,0.0024903810462445623,121.1870976765534,8.836559543843672
9597,201967.5712,154259.4167,64.639628,2019-09-30 05:18:31,51.12775601588816,4.429601078267826,1.0,33.66159110397028,121.18172797429301,121.19158032591673,0.999918704322551,0.004795554572041283,0.005242328530165707,121.20101562518573,8.874832737427404
9598,201933.8911,154259.5083,64.935251,2019-09-30 05:18:32,51.12745327489698,4.429601987987158,1.0,33.66638665854232,121.19899197075236,121.21045104941848,0.9999054612983708,0.007927659741291393,0.008185321460795963,121.22518312312152,8.901751360646587
